Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
OSLE,Oaktree Specialty Lending Corporation,25.4,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/osle
OMP,Oasis Midstream Partners LP,20.29,685704526.8,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/omp
OAS,Oasis Petroleum Inc.,6.03,1942154544,n/a,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oas
OBE,Obsidian Energy Ltd.,0.2628,133340882.6,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/obe
OXY,Occidental Petroleum Corporation,66.63,49831082622,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oxy
OII,"Oceaneering International, Inc.",15.77,1560099275,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/oii
OZM,Och-Ziff Capital Management Group LLC,16.02,327568133,n/a,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/ozm
OCN,Ocwen Financial Corporation,1.87,250427955.9,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ocn
OFG,OFG Bancorp,20.05,1028943925,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ofg
OFG^A,OFG Bancorp,25.2199,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ofg^a
OFG^B,OFG Bancorp,25.0737,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofg^b
OFG^D,OFG Bancorp,25.4956,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofg^d
OGE,OGE Energy Corp,42.72,8551463227,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/oge
OIBR.C,Oi S.A.,n/a,0,n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/oibr.c
OIS,"Oil States International, Inc.",17.26,1044163428,n/a,2001,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/ois
ODC,Oil-Dri Corporation Of America,31.06,234912992,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/odc
ORI,Old Republic International Corporation,20.94,6340109379,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ori
OLN,Olin Corporation,23.35,3850145471,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/oln
OHI,"Omega Healthcare Investors, Inc.",37.76,7712753345,n/a,1992,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ohi
OMC,Omnicom Group Inc.,73.54,16450221285,n/a,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/omc
OMN,OMNOVA Solutions Inc.,7.42,332748557,n/a,n/a,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/omn
ONDK,"On Deck Capital, Inc.",5.52,419008809.4,n/a,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ondk
OGS,"ONE Gas, Inc.",86.98,4572822764,n/a,2014,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/ogs
OLP,"One Liberty Properties, Inc.",28.34,555158494.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/olp
OMAD,One Madison Corporation,10.24,422400000,n/a,2018,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/omad
OMAD.U,One Madison Corporation,n/a,0,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/omad.u
OMAD.WS,One Madison Corporation,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/omad.ws
OMF,"OneMain Holdings, Inc.",32.78,4457744333,n/a,2013,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/omf
OKE,"ONEOK, Inc.",70.21,28899235130,n/a,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/oke
ONE,OneSmart International Education Group Limited,8.2,1336027550,n/a,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/one
OOMA,"Ooma, Inc.",13.86,278586000,n/a,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/ooma
OPY,"Oppenheimer Holdings, Inc.",25.85,334675839.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/opy
ORCL,Oracle Corporation,54.15,1.85066E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/orcl
ORAN,Orange,16.36,43391753841,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/oran
ORC,"Orchid Island Capital, Inc.",6.56,321563190.2,n/a,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/orc
OEC,Orion Engineered Carbons S.A,19.52,1161801081,n/a,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/oec
ORN,"Orion Group Holdings, Inc.",2.93,84675277.16,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/orn
IX,Orix Corp Ads,72.57,18603832933,n/a,n/a,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/ix
ORA,"Ormat Technologies, Inc.",55.26,2801802135,n/a,2004,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ora
OSK,Oshkosh Corporation,76.95,5390091564,n/a,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/osk
OR,Osisko Gold Royalties Ltd,11.38,1762913866,n/a,2016,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/or
OUT,OUTFRONT Media Inc.,23.86,3358480058,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/out
OSG,"Overseas Shipholding Group, Inc.",2.33,198664397.7,n/a,2015,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/osg
OMI,"Owens & Minor, Inc.",4.09,257758834.8,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/omi
OC,Owens Corning Inc,49.26,5397861639,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/oc
OI,"Owens-Illinois, Inc.",19.05,2926503653,n/a,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/oi
OXM,"Oxford Industries, Inc.",75.3,1277008333,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/oxm
ROYT,Pacific Coast Oil Trust,2.22,85654610.76,n/a,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/royt
PACD,Pacific Drilling S.A.,14.22,1066946224,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pacd
PCG,Pacific Gas & Electric Co.,17.66,9316734836,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/pcg
PKG,Packaging Corporation of America,101.56,9597006651,n/a,2000,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/pkg
PAGS,PagSeguro Digital Ltd.,29.93,9810156729,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/pags
PANW,"Palo Alto Networks, Inc.",240.2,22799056674,n/a,2012,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/panw
PAM,Pampa Energia S.A.,26.68,2006122560,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pam
PHX,Panhandle Royalty Company,15.77,263147303.5,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/phx
PARR,"Par Pacific Holdings, Inc.",17.5,862586007.5,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/parr
PAR,PAR Technology Corporation,25.77,418591413,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/par
PGRE,"Paramount Group, Inc.",14.39,3362354794,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pgre
PKE,Park Electrochemical Corporation,15.79,320211852.3,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/pke
PK,Park Hotels & Resorts Inc.,32.32,6513730558,n/a,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/pk
PH,Parker-Hannifin Corporation,177.52,22964937820,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/ph
PE,"Parsley Energy, Inc.",18.74,5935150703,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pe
PRE^F,PartnerRe Ltd.,25.295,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^f
PRE^G,PartnerRe Ltd.,26.64,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^g
PRE^H,PartnerRe Ltd.,27.14,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^h
PRE^I,PartnerRe Ltd.,26.18,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pre^i
PRTY,Party City Holdco Inc.,7.75,725885917.3,n/a,2015,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prty
PAYC,"Paycom Software, Inc.",190.72,11152425046,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/payc
PBF,PBF Energy Inc.,30.43,3646911376,n/a,2012,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/pbf
PBFX,PBF Logistics LP,21.18,1172253611,n/a,2014,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/pbfx
BTU,Peabody Energy Corporation,28.11,3041839292,n/a,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/btu
PSO,"Pearson, Plc",11.17,8728379792,n/a,n/a,Consumer Services,Books,https://www.nasdaq.com/symbol/pso
PEB,Pebblebrook Hotel Trust,31.49,4110020763,n/a,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/peb
PEB^C,Pebblebrook Hotel Trust,25.56,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peb^c
PEB^D,Pebblebrook Hotel Trust,26.03,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peb^d
PEB^E,Pebblebrook Hotel Trust,25.96,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peb^e
PEB^F,Pebblebrook Hotel Trust,24.88,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peb^f
PBA,Pembina Pipeline Corp.,37.57,19149492907,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pba
PEI,Pennsylvania Real Estate Investment Trust,6.21,480312971.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pei
